variable_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,page,empl,empl,empl,empl
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,10,1,2,3,4
geo,,,,,,,,,,,,,,,,,
4013083000,6985,3322,3663,540,1186,209,825,1135,627,933,719,571,240,2840,213,2206,1726
4013092305,4415,2415,2000,305,746,238,171,905,519,516,570,301,144,1897,179,1288,1051
4013092306,6933,3703,3230,384,1115,417,546,906,818,877,1063,413,394,3345,280,1809,1499
4013092307,6509,3257,3252,393,1028,502,191,908,890,893,810,448,446,2499,260,2329,1421
4013092308,6614,3398,3216,510,902,420,356,869,944,1145,845,377,246,3130,75,1997,1412
4013092309,5867,2836,3031,151,913,366,317,749,864,918,791,463,335,2510,241,2052,1064
4013092311,2729,1420,1309,213,372,182,305,531,311,489,186,56,84,990,138,1016,585
4013092312,5256,2123,3133,548,485,380,720,805,469,555,370,292,632,2306,55,1862,1033
4013092401,4421,2247,2174,412,603,279,442,768,382,659,345,280,251,2003,232,1171,1015
4013092402,3524,1836,1688,362,296,264,132,674,399,415,517,292,173,1789,149,928,658
4013092500,5409,2505,2904,361,1007,293,274,774,597,611,676,347,469,2027,190,1824,1368
4013092600,3440,1586,1854,218,730,238,287,459,577,460,295,124,52,1217,127,1148,948
4013092705,3705,1638,2067,309,614,216,245,423,642,694,331,142,89,1741,144,897,923
4013092708,2052,908,1144,250,340,95,236,397,111,306,206,79,32,962,101,399,590
4013092709,4243,2062,2181,245,508,373,275,570,539,651,574,376,132,1932,218,1340,753
4013092710,4254,2368,1886,181,413,341,307,492,534,836,710,313,127,2304,187,1169,594
4013092711,3148,1676,1472,178,545,171,285,434,482,337,421,219,76,1333,67,1025,723
4013092712,5212,2292,2920,583,779,316,504,775,659,755,507,203,131,2474,176,1200,1362
4013092713,5223,2659,2564,377,848,571,467,606,760,550,596,304,144,2170,181,1647,1225
4013092715,4223,2101,2122,535,728,254,306,832,571,483,307,138,69,1827,106,1027,1263
4013092716,3652,1879,1773,274,736,264,158,486,529,413,400,213,179,1584,146,912,1010
4013092717,5146,2433,2713,647,824,365,412,1232,499,512,443,122,90,2275,132,1268,1471
4013092718,3961,1902,2059,596,1055,127,205,633,542,326,316,126,35,1341,113,856,1651
4013092719,3904,2046,1858,224,524,128,336,797,504,490,548,229,124,2049,87,1020,748
4013092720,4989,2441,2548,387,622,346,334,1240,618,727,427,211,77,2918,152,910,1009
4013092721,3160,1577,1583,242,526,203,125,523,486,499,336,129,91,1797,21,574,768
4013092723,3907,1949,1958,381,553,222,296,597,714,441,349,275,79,2035,134,804,934
4013092724,3721,1629,2092,163,445,227,136,386,446,502,600,381,435,1481,235,1397,608
4013092801,5410,2663,2747,541,1321,368,379,792,914,461,324,261,49,1766,247,1535,1862
4013092802,5901,2865,3036,724,1221,421,627,753,829,784,308,170,64,2153,276,1527,1945
4013092900,2959,1473,1486,227,619,206,187,376,405,341,336,147,115,1007,184,922,846
4013093001,5225,2607,2618,403,993,333,462,893,652,751,421,164,153,2130,342,1357,1396
4013093002,4830,2643,2187,717,870,246,381,688,685,490,407,190,156,1559,202,1482,1587
4013093101,4976,2574,2402,486,1031,397,405,608,518,458,637,253,183,1946,247,1266,1517
4013093104,4967,2373,2594,594,1078,148,378,835,663,670,323,154,124,1719,306,1270,1672
4013093105,6161,3027,3134,624,1324,370,402,1003,885,647,616,193,97,2207,233,1773,1948
4013093106,4387,2385,2002,287,980,294,330,533,602,732,339,200,90,1441,322,1357,1267
4013093200,3234,1555,1679,233,680,130,231,609,482,393,269,130,77,1418,76,827,913
4013103205,2918,1504,1414,145,330,150,146,265,274,574,489,336,209,1558,55,830,475
4013103206,2545,1145,1400,107,388,145,124,125,306,433,387,310,220,1250,66,734,495
4013103207,2613,1319,1294,107,360,134,95,197,363,414,469,215,259,1323,63,760,467
4013103208,4320,2055,2265,240,196,153,466,434,464,540,625,617,585,2349,120,1415,436
4013103209,4820,2188,2632,26,549,328,208,347,422,919,920,786,315,2435,75,1735,575
4013103210,6910,3403,3507,410,445,443,367,1727,851,1050,773,393,451,4139,436,1480,855
4013103211,4002,1992,2010,216,520,105,105,348,618,799,687,415,189,2161,97,1008,736
4013103212,4350,2176,2174,219,543,280,238,380,569,551,895,496,179,2264,85,1239,762
4013103214,4332,2169,2163,113,713,238,160,395,554,734,751,441,233,2487,76,943,826
4013103215,2994,1557,1437,140,318,287,120,224,351,538,515,255,246,1459,67,1010,458
4013103216,5130,2329,2801,291,676,280,217,677,477,1005,721,600,186,2924,213,1026,967
4013103217,6956,3347,3609,391,1143,436,445,1029,721,1153,754,559,325,3496,291,1635,1534
4013103219,2949,1436,1513,98,260,90,92,307,494,514,599,292,203,1918,75,598,358
4013103220,3049,1484,1565,180,277,137,88,485,402,500,509,133,338,1582,76,934,457
4013103302,6889,3403,3486,414,1021,500,751,1070,703,1114,710,470,136,3360,299,1795,1435
4013103303,3356,1506,1850,106,377,71,100,466,381,512,545,326,472,1519,119,1235,483
4013103304,5970,3045,2925,636,957,385,730,1155,1067,531,321,166,22,3160,244,973,1593
4013103305,3398,1765,1633,206,666,315,257,346,652,413,286,147,110,1352,274,900,872
4013103306,4480,2269,2211,704,796,274,365,979,700,233,221,122,86,1786,317,877,1500
4013103400,4902,2389,2513,311,748,208,272,861,671,748,538,414,131,2507,161,1175,1059
4013103501,3281,1673,1608,194,442,233,165,292,584,400,537,304,130,1574,123,948,636
4013103502,5445,2599,2846,274,563,218,323,712,943,607,727,643,435,3092,173,1343,837
4013103604,4406,2198,2208,276,857,84,183,497,592,475,592,393,457,1979,69,1225,1133
4013103605,5955,3012,2943,290,647,283,131,442,651,939,946,1129,497,2775,181,2062,937
4013103606,4342,1854,2488,234,489,104,183,549,624,483,640,546,490,2183,163,1273,723
4013103607,4828,2316,2512,174,533,263,179,715,479,808,873,644,160,2691,208,1222,707
4013103608,3809,1899,1910,321,758,88,338,577,601,302,449,293,82,1984,36,710,1079
4013103609,5068,2804,2264,351,468,236,756,976,582,773,488,305,133,2524,176,1549,819
4013103611,5465,2736,2729,227,497,149,363,595,581,1119,877,631,426,3064,98,1579,724
4013103612,5281,2477,2804,288,396,124,714,978,564,752,850,394,221,3273,220,1104,684
4013103614,3432,1809,1623,141,542,272,160,196,489,508,639,327,158,1543,213,993,683
4013103615,5201,2611,2590,487,869,180,428,953,687,677,484,303,133,1916,318,1611,1356
4013103701,4831,2633,2198,43,553,322,483,573,615,898,674,351,319,2485,264,1486,596
4013103702,3109,1511,1598,144,252,72,141,414,431,453,562,400,240,1674,57,982,396
4013103900,5779,2866,2913,333,814,235,481,1071,512,885,685,550,213,2890,204,1538,1147
4013104000,6694,3474,3220,581,978,321,507,1307,920,812,661,194,413,2975,314,1846,1559
4013104100,6674,3468,3206,548,851,393,459,1288,857,994,625,383,276,3169,309,1797,1399
4013104202,5250,2530,2720,207,737,251,304,800,737,658,681,526,349,2463,253,1590,944
4013104203,6505,3482,3023,401,842,363,536,696,850,1235,794,516,272,3354,393,1515,1243
4013104204,3645,1975,1670,141,578,292,168,406,528,602,472,227,231,1662,163,1101,719
4013104205,5027,2336,2691,245,779,102,435,997,461,451,716,467,374,2588,176,1239,1024
4013104206,4538,2200,2338,401,724,230,282,549,693,504,472,390,293,1788,140,1485,1125
4013104207,4033,1956,2077,100,532,169,126,746,572,496,659,317,316,2147,74,1180,632
4013104212,6646,3602,3044,432,993,285,572,1159,752,843,872,471,267,3130,378,1713,1425
4013104214,2405,1295,1110,199,230,140,158,304,208,383,296,272,215,1161,71,744,429
4013104215,4228,2115,2113,195,562,220,206,693,729,529,540,422,132,2008,166,1297,757
4013104216,5080,2598,2482,305,565,435,534,573,622,934,568,371,173,2651,98,1461,870
4013104217,5757,2625,3132,525,607,398,472,952,570,453,912,424,444,2339,175,2111,1132
4013104218,3475,1618,1857,154,467,154,379,396,457,665,431,189,183,1935,121,798,621
4013104219,3342,1494,1848,187,364,327,195,425,434,450,514,273,173,1627,113,1051,551
4013104221,6037,2933,3104,305,1043,279,427,926,715,961,672,416,293,2989,244,1456,1348
4013104222,5801,2534,3267,137,681,352,469,768,869,1013,743,591,178,2992,133,1858,818
4013104223,2018,999,1019,128,206,103,152,210,219,280,346,225,149,962,64,658,334
4013104224,6072,2788,3284,218,823,207,624,710,869,862,802,549,408,3091,137,1803,1041
4013104225,3735,1789,1946,301,470,192,171,603,244,548,698,326,182,1832,198,934,771
4013104226,4342,2199,2143,304,455,292,368,655,372,738,558,370,230,2230,169,1184,759
4013104227,2142,992,1150,108,252,82,123,366,213,296,373,189,140,967,130,685,360
4013104301,3885,1953,1932,222,584,134,384,793,390,509,387,226,256,1860,120,1099,806
4013104302,3571,1685,1886,269,414,153,389,564,392,465,482,311,132,1539,297,1052,683
4013104401,4646,2017,2629,242,752,69,325,684,657,637,420,286,574,2272,166,1214,994
4013104402,2629,1318,1311,361,164,77,349,779,370,127,146,173,83,1086,88,930,525
4013104501,3682,1981,1701,286,735,252,169,538,662,500,298,174,68,1400,199,1062,1021
4013104502,5512,2902,2610,606,1077,440,536,726,647,868,354,141,117,1909,577,1343,1683
4013104600,4343,2128,2215,497,559,178,194,1034,499,396,490,258,238,1807,304,1176,1056
4013104701,2629,1201,1428,310,293,77,253,521,234,338,275,221,107,1155,174,697,603
4013104702,4018,2183,1835,242,535,203,240,460,662,572,557,270,277,1843,213,1185,777
4013104801,3537,1574,1963,196,363,86,137,317,384,476,791,503,284,1724,7,1247,559
4013104802,5683,2785,2898,190,633,353,281,504,866,1092,984,383,397,3416,284,1160,823
4013104900,4381,1996,2385,342,420,68,234,593,764,549,611,319,481,2285,106,1228,762
4013105002,2920,1459,1461,213,440,71,13,76,290,540,448,486,343,1190,33,1044,653
4013105003,4702,2312,2390,307,680,138,142,247,364,890,864,559,511,1943,51,1721,987
4013105004,3595,1805,1790,176,266,164,328,99,282,610,691,595,384,1738,36,1379,442
4013105101,4265,2014,2251,194,549,189,123,222,506,727,822,603,330,2170,61,1291,743
4013105102,4439,2285,2154,107,323,147,182,256,445,975,668,836,500,2603,84,1322,430
4013105103,3048,1622,1426,99,348,147,39,155,177,362,783,581,357,1187,25,1389,447
4013105200,6560,3504,3056,426,844,170,485,733,820,1229,1040,487,326,3422,314,1554,1270
4013105300,5756,2643,3113,626,630,67,317,649,903,651,697,720,496,2689,184,1627,1256
4013105400,3830,1761,2069,149,636,166,249,243,636,500,592,350,309,2091,81,873,785
4013105501,2844,1402,1442,311,505,176,296,473,421,322,178,115,47,1170,148,710,816
4013105502,1955,978,977,305,209,61,313,428,241,173,132,82,11,915,109,417,514
4013105503,3298,1675,1623,249,533,52,492,612,439,311,395,109,106,1736,86,694,782
4013105601,4436,2243,2193,244,876,391,265,548,710,735,277,171,219,1894,151,1271,1120
4013105602,6070,2642,3428,978,1076,224,545,1267,452,626,584,230,88,2334,554,1128,2054
4013105701,3137,1641,1496,241,458,131,262,517,234,495,292,323,184,1376,102,960,699
4013105702,3971,2006,1965,305,628,277,259,548,744,420,355,258,177,1640,218,1180,933
4013105800,6600,3151,3449,418,1232,370,482,805,731,989,887,326,360,3069,227,1654,1650
4013105900,4938,2736,2202,340,638,168,365,593,750,528,668,487,401,1813,199,1948,978
4013106001,1755,923,832,165,433,67,143,308,257,116,133,65,68,672,76,409,598
4013106002,2454,1299,1155,158,392,91,227,323,322,396,324,141,80,1170,147,587,550
4013106003,3410,1745,1665,177,515,144,527,426,506,489,276,200,150,1769,148,801,692
4013106100,5345,2280,3065,176,656,37,375,834,847,522,379,456,1063,2451,195,1867,832
4013106200,3454,1654,1800,136,815,225,47,131,431,565,451,407,246,1469,36,998,951
4013106300,4660,2131,2529,166,451,63,315,511,582,905,656,264,747,2224,49,1770,617
4013106400,2814,1391,1423,112,333,65,177,402,447,435,317,251,275,1710,95,564,445
4013106501,3452,1580,1872,251,439,153,209,605,520,429,456,236,154,1797,121,844,690
4013106502,3613,1715,1898,236,433,99,137,636,513,471,544,293,251,1961,125,858,669
4013106600,3899,2032,1867,284,434,181,151,335,537,462,733,449,333,1830,130,1221,718
4013106701,4050,2062,1988,546,325,125,599,812,521,449,414,123,136,1516,297,1366,871
4013106702,1469,688,781,67,278,51,115,168,197,155,238,121,79,637,71,416,345
4013106703,2241,1057,1184,152,215,54,126,354,269,325,292,266,188,1166,38,670,367
4013106801,4370,2054,2316,685,685,209,508,853,502,398,290,170,70,1716,244,1040,1370
4013106802,3706,1756,1950,185,644,225,203,529,373,523,354,213,457,1459,200,1218,829
4013106900,7853,3262,4591,663,1598,562,492,1149,1005,644,1045,348,347,3375,252,1965,2261
4013107000,7096,3283,3813,939,712,725,518,952,1054,667,690,436,403,3102,151,2192,1651
4013107101,4589,2341,2248,234,882,302,469,563,718,562,446,209,204,1500,195,1778,1116
4013107102,5478,2716,2762,375,1223,392,522,684,998,781,258,174,71,2144,122,1614,1598
4013107201,2973,1365,1608,306,607,347,551,433,310,235,93,75,16,1252,108,700,913
4013107202,5851,3244,2607,356,1394,540,580,647,909,727,350,282,66,2277,181,1643,1750
4013107300,6703,3478,3225,592,1257,404,488,859,776,992,617,486,232,2309,237,2308,1849
4013107400,6749,3431,3318,527,1011,332,399,1415,706,928,691,498,242,3077,225,1909,1538
4013107500,3683,1825,1858,89,371,139,187,396,579,600,477,496,349,2053,255,915,460
4013107601,3622,2048,1574,261,247,170,168,629,553,700,350,265,279,1930,279,905,508
4013107602,3057,1574,1483,229,465,129,137,569,555,398,210,222,143,1602,134,627,694
4013107700,3975,2049,1926,312,500,58,277,877,557,575,256,291,272,2356,134,673,812
4013107800,2445,1029,1416,35,116,58,46,342,183,298,448,640,279,1294,34,966,151
4013107900,3673,1862,1811,279,279,98,139,503,406,594,484,418,473,2009,65,1041,558
4013108000,3163,1647,1516,178,586,243,119,186,464,511,426,277,173,1454,82,863,764
4013108100,1968,909,1059,118,389,90,70,203,296,252,299,147,104,998,48,415,507
4013108200,3532,1755,1777,176,391,166,294,652,497,536,389,246,185,2166,82,717,567
4013108301,3725,1814,1911,147,453,76,175,605,592,595,411,530,141,2125,71,929,600
4013108302,2911,1342,1569,169,210,64,195,742,387,440,281,244,179,1755,84,693,379
4013108400,5339,2997,2342,374,551,74,432,1003,816,562,653,481,393,2827,184,1403,925
4013108501,2310,1240,1070,57,330,73,162,548,444,351,225,53,67,1332,104,487,387
4013108502,3750,2022,1728,214,179,177,94,827,710,570,490,283,206,2346,102,909,393
4013108601,2769,1429,1340,352,280,55,362,539,409,300,225,193,54,1329,105,703,632
