variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013103209,2165,701,926,256,151,106,21,4,189,306,539,209,922
4013103210,3268,1676,720,453,329,77,0,13,464,676,1593,253,282
4013103211,1602,400,712,163,233,60,22,12,95,235,417,213,642
4013103212,1572,263,654,281,213,135,26,0,58,114,291,285,824
4013103214,1570,243,735,232,230,62,68,0,15,98,386,305,766
4013103215,1010,118,410,267,170,34,7,4,40,97,252,152,469
4013103216,1995,582,480,562,347,24,0,0,88,212,624,244,827
4013103217,2636,708,870,384,516,158,0,0,93,367,879,406,891
4013103219,1439,668,496,87,125,44,0,19,66,163,470,205,535
4013103220,1344,492,507,129,142,49,16,9,121,252,269,138,564
4013103302,2400,577,849,463,197,173,108,33,275,507,1058,400,160
4013103303,1550,696,462,220,118,54,0,0,150,368,611,110,311
4013103304,1854,435,537,319,193,198,103,69,218,871,605,114,46
4013103305,1041,226,303,113,144,179,39,37,159,440,401,32,9
4013103306,1394,279,438,174,219,150,108,26,339,524,440,43,48
4013103400,1668,425,544,288,146,159,98,8,130,360,519,327,332
4013103501,1186,279,461,156,159,44,38,49,121,177,348,163,377
4013103502,2255,721,848,269,273,83,61,0,199,274,1117,268,397
4013103604,1697,561,577,173,247,78,10,51,236,363,524,273,301
4013103605,2266,467,943,439,302,50,33,32,58,111,570,313,1214
4013103606,1824,554,850,182,97,48,52,41,159,414,638,269,344
4013103607,1815,357,895,247,164,54,53,45,103,221,448,370,673
4013103608,1346,294,500,209,198,53,84,8,77,220,458,244,347
4013103609,2229,898,734,256,212,101,15,13,244,833,868,147,137
4013103611,2199,556,1007,201,344,17,50,24,119,171,393,531,985
4013103612,2546,945,1027,403,115,20,36,0,58,833,798,235,622
4013103614,1216,303,500,173,69,51,96,24,106,208,410,147,345
4013103615,1761,548,443,350,192,120,72,36,516,664,448,102,31
4013103701,2285,1063,722,256,161,30,30,23,382,633,605,150,515
4013103702,1573,695,600,201,31,0,40,6,188,295,577,173,340
4013103900,2334,711,883,367,237,72,31,33,324,561,971,271,207
4013104000,2615,734,903,467,359,85,67,0,437,826,871,259,222
4013104100,2246,577,715,349,295,134,113,63,276,574,859,257,280
4013104202,1805,314,668,401,171,181,70,0,166,315,663,344,317
4013104203,2292,480,887,426,265,137,97,0,209,442,992,335,314
4013104204,1103,189,308,238,189,140,23,16,98,146,424,140,295
4013104205,2034,811,623,182,237,54,71,56,305,453,695,320,261
4013104206,1384,334,344,200,161,287,14,44,111,273,647,146,207
4013104207,1833,689,646,313,58,115,0,12,223,381,565,373,291
4013104212,2181,481,590,556,345,92,90,27,193,338,901,344,405
4013104214,783,181,227,119,177,38,16,25,58,73,223,144,285
4013104215,1715,615,529,278,148,99,36,10,144,476,630,260,205
4013104216,1836,448,685,296,233,114,33,27,161,409,613,283,370
4013104217,1873,544,600,234,193,150,119,33,160,388,785,220,320
4013104218,1373,382,586,171,137,57,34,6,139,335,467,256,176
4013104219,998,190,379,210,109,23,61,26,57,109,473,161,198
4013104221,2042,309,742,457,302,194,38,0,181,482,666,276,437
4013104222,2210,734,684,327,332,65,33,35,178,646,731,177,478
4013104223,637,122,191,141,103,44,19,17,51,53,119,106,308
4013104224,2285,612,833,468,220,60,78,14,526,501,601,151,506
