hid,sample_geo,gqrtotals,gqtotals
2012000190545.00,400,1,1
2012000190605.00,134,1,1
2012000191083.00,205,1,1
2012000191332.00,134,1,1
2012000191703.00,113,1,1
2012000191815.00,129,1,1
2012000192135.00,600,1,1
2012000192354.00,805,1,1
2012000192856.00,805,1,1
2012000193131.00,400,1,1
2012000193891.00,600,1,1
2012000194023.00,805,1,1
2012000196361.00,900,1,1
2012000196502.00,807,1,1
2012000196890.00,130,1,1
2012000197465.00,115,1,1
2012000197611.00,805,1,1
2012000198055.00,208,1,1
2012000198292.00,134,1,1
2012000198796.00,205,1,1
2012000198922.00,115,1,1
2012000199357.00,132,1,1
2012000199450.00,807,1,1
2012000199486.00,805,1,1
2012000199505.00,208,1,1
2012000199936.00,206,1,1
2012000199953.00,300,1,1
2012000200027.00,115,1,1
2012000200738.00,119,1,1
2012000200928.00,207,1,1
2012000203631.00,700,1,1
2012000203730.00,805,1,1
2012000203809.00,700,1,1
2012000203998.00,110,1,1
2012000204351.00,115,1,1
2012000205357.00,113,1,1
2012000205736.00,800,1,1
2012000206210.00,114,1,1
2012000208902.00,126,1,1
2012000209632.00,207,1,1
2012000211424.00,101,1,1
2012000212038.00,113,1,1
2012000212080.00,805,1,1
2012000212158.00,118,1,1
2012000212532.00,206,1,1
2012000214393.00,119,1,1
2012000214441.00,134,1,1
2012000214715.00,800,1,1
2012000215685.00,119,1,1
2012000216187.00,134,1,1
2012000216866.00,118,1,1
2012000216979.00,134,1,1
2012000217644.00,300,1,1
2012000217836.00,805,1,1
2012000217904.00,103,1,1
2012000219408.00,207,1,1
2012000220046.00,205,1,1
2012000220097.00,127,1,1
2012000222085.00,109,1,1
2012000223223.00,117,1,1
2012000223321.00,805,1,1
2012000223358.00,205,1,1
2012000224094.00,104,1,1
2012000224561.00,119,1,1
2012000224914.00,119,1,1
2012000226020.00,204,1,1
2012000226341.00,128,1,1
2012000226914.00,203,1,1
2012000229983.00,900,1,1
2012000231069.00,400,1,1
2012000231269.00,207,1,1
2012000231279.00,119,1,1
2012000231371.00,109,1,1
2012000231597.00,134,1,1
2012000232191.00,500,1,1
2012000232542.00,805,1,1
2012000233221.00,114,1,1
2012000233552.00,805,1,1
2012000234866.00,134,1,1
2012000235131.00,104,1,1
2012000235588.00,805,1,1
2012000235997.00,111,1,1
2012000236084.00,805,1,1
2012000236119.00,109,1,1
2012000237343.00,110,1,1
2012000238427.00,805,1,1
2012000238689.00,805,1,1
2012000238819.00,800,1,1
2012000239759.00,110,1,1
2012000240557.00,102,1,1
2012000240792.00,134,1,1
2012000240884.00,119,1,1
2012000240898.00,134,1,1
2012000240900.00,103,1,1
2012000240921.00,400,1,1
2012000240994.00,805,1,1
2012000241813.00,102,1,1
2012000241846.00,130,1,1
2012000243028.00,122,1,1
2012000243185.00,203,1,1
2012000243189.00,205,1,1
2012000243557.00,103,1,1
2012000244014.00,124,1,1
2012000244221.00,134,1,1
2012000245172.00,205,1,1
2012000245780.00,127,1,1
2012000246364.00,118,1,1
2012000246740.00,119,1,1
2012000247372.00,207,1,1
2012000247760.00,115,1,1
2012000248662.00,108,1,1
2012000248722.00,117,1,1
2012000248821.00,700,1,1
2012000248915.00,130,1,1
2012000249176.00,400,1,1
2012000250233.00,119,1,1
2012000250666.00,805,1,1
2012000250681.00,134,1,1
